genre,link,rating,runtime,sinopse,sinopse_br,title,votes,year,gen_pred,target
"Action, Adventure, Family",https://www.imdb.com//title/tt0106126/,6.7,60,"In the early 21st century, mankind has colonized the oceans. The United Earth Oceans Organization enlists Captain Nathan Bridger and the submarine seaQuest DSV to keep the peace and explore the last frontier on Earth.","No início do século XXI, a humanidade colonizou os oceanos. A Organização dos Oceanos Unidos da Terra convoca o capitão Nathan Bridger e o seaQuest DSV submarino para manter a paz e explorar a última fronteira da Terra.",SeaQuest,6041,1993,Action,0
"Action, Drama, Horror",https://www.imdb.com//title/tt10620868/,6.1,98,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","A rápida disseminação de uma infecção desconhecida deixou uma cidade inteira em um caos ingovernável, mas um sobrevivente permanece vivo em isolamento. É a história dele.",#Saraitda,622,2020,Action,0
"Action, Adventure, Comedy",https://www.imdb.com//title/tt0271367/,5.4,99,Venomous spiders get exposed to a noxious chemical that causes them to grow to monumental proportions.,Aranhas venenosas são expostas a um produto químico nocivo que as faz crescer em proporções monumentais.,Malditas Aranhas!,51895,2002,Action,1
"Action, Adventure, Family",https://www.imdb.com//title/tt0109770/,3.8,90,"When dosed with cosmic rays, four intrepid explorers are given incredible powers.","Quando administrados com raios cósmicos, quatro intrépidos exploradores recebem poderes incríveis.",O Quarteto Fantástico,4856,1994,Action,0
"Action, Sci-Fi, Thriller",https://www.imdb.com//title/tt8664988/,6.1,127,Life on Earth is rapidly destroyed except for a small area in Eastern Europe.,"A vida na Terra é rapidamente destruída, exceto por uma pequena área na Europa Oriental.",Avanpost,3422,2019,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt2527336/,7.0,152,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.","Rey desenvolve suas habilidades recém-descobertas com a orientação de Luke Skywalker, que é perturbado pela força de seus poderes. Enquanto isso, a Resistência se prepara para a batalha com a Primeira Ordem.",Star Wars: Os Últimos Jedi,545659,2017,Action,1
"Action, Mystery, Thriller",https://www.imdb.com//title/tt3447364/,7.6,139,"While investigating the disappearance of a chemist, a detective uncovers a larger conspiracy to unsettle Calcutta.","Enquanto investiga o desaparecimento de um químico, um detetive descobre uma conspiração maior para perturbar Calcutá.",Detective Byomkesh Bakshy!,17913,2015,Action,0
"Action, Adventure, Fantasy",https://www.imdb.com//title/tt3717252/,5.8,91,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.","A traficante de mortes de vampiros, Selene (Kate Beckinsale) luta para acabar com a guerra eterna entre o clã Lycan e a facção de vampiros que a traiu.",Anjos da Noite: Guerras de Sangue,67882,2016,Action,1
"Action, Sci-Fi, Thriller",https://www.imdb.com//title/tt0452608/,6.4,105,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,O ex-presidiário Jensen Ames é forçado pelo diretor de uma prisão notória a competir no esporte mais popular do mundo pós-industrial: uma corrida de carros em que os presos devem brutalizar e se matar no caminho da vitória.,Corrida Mortal,195092,2008,Action,1
"Action, Adventure, Sci-Fi",https://www.imdb.com//title/tt2231461/,6.1,107,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.","Quando três animais diferentes são infectados com um patógeno perigoso, um primatologista e um geneticista se unem para impedir que destruam Chicago.",Rampage: Destruição Total,137000,2018,Action,1
